episode_reward_mean,episode_len_mean,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,info/weights_norm,info/grad_norm,info/update_ratio,info/episodes_this_iter,info/episodes_so_far,perf/cpu_util_percent,perf/ram_util_percent
357.41666,985.0,1100566,False,35930058,,38,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-23_03-33-08,1650684788,2060.4455535411835,70497.07025790215,3450,4e0a7eaaf501,172.17.0.2,70497.07025790215,35930058,38,11.890494585037231,4088.6355,83.044334,0.036214337,1000,38000,87.29145677331518,40.01531654186522
368.41666,1143.0,1101461,False,37031519,,39,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-23_04-07-51,1650686871,2083.426723718643,72580.49698162079,3450,4e0a7eaaf501,172.17.0.2,72580.49698162079,37031519,39,11.890494585037231,4152.9834,79.284706,0.035781696,1000,39000,86.56299663299663,39.803333333333335
404.91666,1444.0,1117331,False,38148850,,40,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-23_04-43-00,1650688980,2109.1697630882263,74689.66674470901,3450,4e0a7eaaf501,172.17.0.2,74689.66674470901,38148850,40,11.890494585037231,4216.0776,79.687454,0.035384085,1000,40000,84.90166278683073,39.713501829065514
419.16666,1461.5,1114623,False,39263473,,41,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-23_05-18-53,1650691133,2152.4494371414185,76842.11618185043,3450,4e0a7eaaf501,172.17.0.2,76842.11618185043,39263473,41,11.890494585037231,4278.1753,78.832184,0.03500744,1000,41000,85.46115998696645,39.627533398501136
412.0,976.0,1116145,False,40379618,,42,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-23_05-53-40,1650693220,2087.6753220558167,78929.79150390625,3450,4e0a7eaaf501,172.17.0.2,78929.79150390625,40379618,42,11.890494585037231,4339.004,77.44765,0.034626834,1000,42000,86.72865300638227,39.95670137722539
432.25,1419.5,1124124,False,41503742,,43,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-23_06-28-56,1650695336,2116.062069416046,81045.8535733223,3450,4e0a7eaaf501,172.17.0.2,81045.8535733223,41503742,43,11.890494585037231,4398.316,83.28847,0.034443706,1000,43000,85.27000331455088,39.42552204176334
375.75,845.0,1100800,False,42604542,,44,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-23_07-03-19,1650697399,2062.7403512001038,83108.5939245224,3450,4e0a7eaaf501,172.17.0.2,83108.5939245224,42604542,44,11.890494585037231,4456.229,83.384705,0.034261264,1000,44000,87.6907514450867,40.062903774226456
375.75,nan,1115317,False,43719859,,45,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-23_07-41-48,1650699708,2308.775174856186,85417.36909937859,3450,4e0a7eaaf501,172.17.0.2,85417.36909937859,43719859,45,11.890494585037231,4512.9546,86.91703,0.03422684,1000,45000,89.27831508515814,40.55316301703163
366.25,1100.0,1120621,False,44840480,,46,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-23_08-19-20,1650701960,2252.3544204235077,87669.7235198021,3450,4e0a7eaaf501,172.17.0.2,87669.7235198021,44840480,46,11.890494585037231,4569.008,90.18609,0.034267653,1000,46000,86.00629283489097,39.7768847352025
362.75,880.0,1120791,False,45961271,,47,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-23_08-58-32,1650704312,2351.3443546295166,90021.06787443161,3450,4e0a7eaaf501,172.17.0.2,90021.06787443161,45961271,47,11.890494585037231,4624.5454,81.618034,0.033977747,1000,47000,85.81509997015817,39.77594747836467
362.75,nan,1136000,False,47097271,,48,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-23_09-38-05,1650706685,2372.6923549175262,92393.76022934914,3450,4e0a7eaaf501,172.17.0.2,92393.76022934914,47097271,48,11.890494585037231,4679.091,85.6636,0.033835657,1000,48000,85.92738024837375,39.729272619751626
410.25,1456.0,1123515,False,48220786,,49,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-23_10-17-05,1650709025,2339.7870984077454,94733.54732775688,3450,4e0a7eaaf501,172.17.0.2,94733.54732775688,48220786,49,11.890494585037231,4732.7725,86.50061,0.033689186,1000,49000,85.27472263868066,39.927136431784106
419.0,910.0,1155640,False,49376426,,50,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-23_10-57-22,1650711442,2417.036763906479,97150.58409166336,3450,4e0a7eaaf501,172.17.0.2,97150.58409166336,49376426,50,11.890494585037231,4785.9487,81.75499,0.03338653,1000,50000,85.68043541364295,39.51518142235124
458.5,1453.5,1160640,False,50537066,,51,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-23_11-39-06,1650713946,2503.931805372238,99654.5158970356,3450,4e0a7eaaf501,172.17.0.2,99654.5158970356,50537066,51,11.890494585037231,4838.731,85.61243,0.033233058,1000,51000,85.67462142456533,39.98121144139091
458.5,nan,1166971,False,51704037,,52,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-23_12-21-34,1650716494,2535.9757483005524,102190.49164533615,3450,4e0a7eaaf501,172.17.0.2,102190.49164533615,51704037,52,11.890494585037231,4891.007,83.45823,0.03301717,1000,52000,85.26081677704195,39.33766556291391
442.0,895.0,1174939,False,52878976,,53,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-23_13-02-47,1650718967,2472.4226014614105,104662.91424679756,3450,4e0a7eaaf501,172.17.0.2,104662.91424679756,52878976,53,11.890494585037231,4942.849,85.69076,0.032889195,1000,53000,86.0152186257808,39.692930153321974
442.0,nan,1191178,False,54070154,,54,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-23_13-44-18,1650721458,2490.4085965156555,107153.32284331322,3450,4e0a7eaaf501,172.17.0.2,107153.32284331322,54070154,54,11.890494585037231,4993.96,86.685135,0.032784,1000,54000,86.11916032685264,39.56810369118062
437.66666,1077.6666666666667,1195896,False,55266050,,55,e989d_00000,5adce4d286fa4b8f89d205e50c3c74ec,2022-04-23_14-26-28,1650723988,2530.1264147758484,109683.44925808907,3450,4e0a7eaaf501,172.17.0.2,109683.44925808907,55266050,55,11.890494585037231,5044.4043,80.64738,0.032466665,1000,55000,86.10210759844702,39.77462562396006
