,alpha,gamma,epsilon,mean_reward,mean_total_health,q_var,num_episodes
248,0.3,0.5,0.9,48.48,99.4,82.40253098787161,1000
249,0.3,0.5,1.0,49.24,99.94,40.078083664860856,1000
250,0.3,0.6,0.1,-44.46,17.14,74.7954894757504,1000
251,0.3,0.6,0.2,-35.7,19.79,103.8370072647459,1000
252,0.3,0.6,0.3,-6.43,45.43,119.58680948475663,1000
253,0.3,0.6,0.4,21.72,72.54,120.73494295528232,1000
254,0.3,0.6,0.5,32.64,83.31,118.00776006394263,1000
255,0.3,0.6,0.6,42.26,92.88,113.58438257926875,1000
256,0.3,0.6,0.7,30.571428571428573,94.0,0.20125148535575152,35
257,0.3,0.6,0.8,45.04,98.0,90.6174190147141,1000
258,0.3,0.6,0.9,48.32,99.32,87.76837791535104,1000
259,0.3,0.6,1.0,46.82,99.94,32.56718045345687,1000
260,0.3,0.7,0.1,-45.22,16.6,85.48603920246782,1000
261,0.3,0.7,0.2,-33.8,20.19,115.98511323891535,1000
262,0.3,0.7,0.3,-5.7,45.35,131.19153710881017,1000
263,0.3,0.7,0.4,19.29,70.12,130.515367971056,1000
264,0.3,0.7,0.5,35.02,85.31,131.6434925193679,1000
265,0.3,0.7,0.6,41.42,91.9,127.35669262889694,1000
266,0.3,0.7,0.7,20.833333333333332,86.66666666666667,0.025569732072843864,12
267,0.3,0.7,0.8,34.680851063829785,97.97872340425532,1.0359156775936014,94
268,0.3,0.7,0.9,49.11,99.27,110.38443272781839,1000
269,0.3,0.7,1.0,33.5,98.5,0.09670425431587056,40
270,0.3,0.8,0.1,-44.73,17.79,89.93449212254394,1000
271,0.3,0.8,0.2,-35.65,19.34,125.41103324269228,1000
272,0.3,0.8,0.3,-9.07,42.89,140.66553154215,1000
273,0.3,0.8,0.4,17.23,68.14,145.12461985141138,1000
274,0.3,0.8,0.5,34.07,84.48,142.7298083722966,1000
275,0.3,0.8,0.6,41.07,91.35,142.84871200440605,1000
276,0.3,0.8,0.7,45.75,95.83,138.63473959097448,1000
277,0.3,0.8,0.8,46.5,97.26,129.5310866732627,1000
278,0.3,0.8,0.9,48.22,99.46,114.0969146424113,1000
279,0.3,0.8,1.0,33.958333333333336,98.75,0.13695014255863652,48
280,0.3,0.9,0.1,-43.38,18.75,97.82389303791217,1000
281,0.3,0.9,0.2,-35.85,19.39,134.64179577310918,1000
282,0.3,0.9,0.3,-11.64,40.79,154.29700123561975,1000
283,0.3,0.9,0.4,16.8,67.56,159.11036645706855,1000
284,0.3,0.9,0.5,33.3,83.87,156.4869722578897,1000
285,0.3,0.9,0.6,39.67,90.1,156.95404364097072,1000
286,0.3,0.9,0.7,45.2,95.42,149.24374001521372,1000
287,0.3,0.9,0.8,44.98,97.61,129.11882747166234,1000
288,0.3,0.9,0.9,29.18918918918919,96.48648648648648,0.14257381553133983,37
289,0.3,0.9,1.0,30.0,95.0,0.019090317684249906,12
290,0.3,1.0,0.1,-47.85,22.01,70.7864654778235,1000
291,0.3,1.0,0.2,-45.71,20.22,90.09373571101966,1000
292,0.3,1.0,0.3,-42.94,20.14,100.30498399634202,1000
293,0.3,1.0,0.4,-40.17,19.26,124.40146319158664,1000
294,0.3,1.0,0.5,-30.34,26.04,146.8230452674897,1000
295,0.3,1.0,0.6,-8.13,44.65,164.9551897576589,1000
296,0.3,1.0,0.7,20.25,71.07,175.4385002286237,1000
297,0.3,1.0,0.8,39.45,89.74,173.50068587105625,1000
298,0.3,1.0,0.9,46.06,96.8,154.8262459990855,1000
299,0.3,1.0,1.0,44.48275862068966,97.93103448275862,0.07590306355738455,29
300,0.4,0.1,0.1,-44.93,15.8,60.33992030957567,1000
301,0.4,0.1,0.2,-26.43,26.54,93.03264542728067,1000
302,0.4,0.1,0.3,5.69,56.66,109.66614677971285,1000
303,0.4,0.1,0.4,30.27,81.26,102.96660658882912,1000
304,0.4,0.1,0.5,39.28,89.52,102.28425899207275,1000
305,0.4,0.1,0.6,43.61,94.74,84.9058550651076,1000
306,0.4,0.1,0.7,47.07,97.86,78.38157056608947,1000
307,0.4,0.1,0.8,33.25443786982248,99.14792899408285,4.284687440415892,845
