,avg_rewards,mean_q
64,-32.31,-5.0968427658081055
65,-33.31,-4.182802200317383
66,-37.12,-4.185284614562988
67,-34.28,-6.032870292663574
68,-28.74,-5.892962455749512
69,-28.1,-0.38656800985336304
70,-26.66,-3.160994529724121
71,-28.33,-3.394406318664551
72,-30.37,-5.28791618347168
73,-36.8,-2.9234156608581543
74,-37.05,-5.948698043823242
75,-33.74,-3.8388736248016357
76,-32.66,-3.366558790206909
77,-30.69,-0.7823607921600342
78,-22.38,-7.167128086090088
79,-26.4,-2.5428643226623535
80,-30.66,-1.0227997303009033
81,-36.9,-1.2872949838638306
82,-39.01,-2.545349597930908
83,-38.99,-1.8195637464523315
84,-37.84,-2.844909906387329
85,-39.79,-3.569706439971924
86,-28.16,-0.5888356566429138
87,-26.66,-3.7293834686279297
88,-28.23,-0.9889270663261414
89,-31.24,-2.182809591293335
90,-34.39,-0.1535414159297943
91,-30.41,-3.6402623653411865
92,-36.85,-1.0840083360671997
93,-36.56,-4.841155052185059
94,-34.56,-0.13635432720184326
95,-32.23,-1.5262444019317627
96,-33.41,-1.8664653301239014
97,-33.48,0.8178911805152893
98,-33.65,-1.2483336925506592
99,-33.65,-2.234116554260254
100,-36.7,-4.8912811279296875
101,-32.61,-3.277345657348633
102,-31.22,0.6693333387374878
103,-29.22,-5.058112621307373
104,-28.13,0.8453376889228821
105,-28.36,-6.057344913482666
106,-25.09,-1.397777795791626
107,-23.62,-1.6809883117675781
108,-28.33,1.0882506370544434
109,-25.52,-0.3302878737449646
110,-20.91,-1.9458436965942383
111,-19.56,-2.4550857543945312
112,-20.76,-0.30910593271255493
113,-23.19,-3.9564008712768555
114,-23.61,-0.23815661668777466
115,-19.13,1.0377682447433472
116,-23.95,-3.2849555015563965
117,-23.7,-0.18628570437431335
118,-20.83,-3.302725076675415
119,-20.51,-0.05698457360267639
120,-21.29,-0.5192668437957764
121,-20.71,-3.7405593395233154
122,-18.65,-3.8361213207244873
123,-21.56,-2.045701742172241
124,-21.72,-0.3921574354171753
125,-21.43,1.298858404159546
126,-24.89,0.41118431091308594
127,-24.98,-4.434467792510986
128,-24.22,0.15656626224517822
129,-24.39,-4.206596851348877
130,-23.05,0.7635787725448608
131,-18.68,-2.413301944732666
132,-18.25,0.6135848164558411
133,-18.56,-2.7973203659057617
134,-20.49,-0.4766243100166321
135,-18.67,-1.7795710563659668
136,-16.97,-3.815891742706299
137,-20.41,-3.5271482467651367
138,-21.06,-3.0441980361938477
139,-23.89,-0.4774603247642517
140,-25.05,-3.243910789489746
141,-26.06,-1.2107758522033691
142,-29.02,0.3160284757614136
143,-25.94,-2.2248659133911133
144,-24.61,-1.9961047172546387
145,-22.14,0.3761662244796753
146,-18.43,-3.77687931060791
147,-16.47,0.5429368615150452
148,-19.78,-2.7522988319396973
149,-22.37,-1.8735053539276123
150,-21.62,1.3567954301834106
151,-19.59,-1.0037572383880615
152,-22.45,-0.620793879032135
